,textID,text,len,clean
0,cb774db0d1," I`d have responded, if I were going",7,would respond  go
1,549e992a42, Sooo SAD I will miss you here in San Diego!!!,10,sooo sad miss san diego   
2,088c60f138,my boss is bullying me...,5,boss bully 
3,9642c003ef, what interview! leave me alone,5,interview  leave alone
4,358bd9e861," Sons of ****, why couldn`t they put them on the releases we already bought",14,son      could put release already buy
5,28b57f3990,http://www.dothebouncy.com/smf - some shameless plugging for the best Rangers forum on earth,12,  shameless plugging good rangers forum earth
6,6e0c6d75b1,2am feedings for the baby are fun when he is all smiles and coos,14, feeding baby fun smile coo
7,50e14c0bb8,Soooo high,2,soooo high
8,e050245fbd, Both of you,3,
9,fc2cbefa9d, Journey!? Wow... u just became cooler.  hehe... (is that possible!?),10,journey   wow  become cool    hehe   possible   
10,2339a9b08b," as much as i love to be hopeful, i reckon the chances are minimal =P i`m never gonna get my cake and stuff",23,much love hopeful  reckon chance minimal  p never go get cake stuff
11,16fab9f95b,I really really like the song Love Story by Taylor Swift,11,really really like song love story taylor swift
12,74a76f6e0a,My Sharpie is running DANGERously low on ink,8,sharpie run dangerously low ink
13,04dd1d2e34,i want to go to music tonight but i lost my voice.,12,want go music tonight lose voice 
14,bbe3cbf620,test test from the LG enV2,6,test test lg env
15,8a939bfb59,"Uh oh, I am sunburned",5,uh oh  sunburn
16,3440297f8b," S`ok, trying to plot alternatives as we speak *sigh*",9,sok  try plot alternative speak  sigh 
17,919fa93391,"i`ve been sick for the past few days  and thus, my hair looks wierd.  if i didnt have a hat on it would look... http://tinyurl.com/mnf4kw",25,sick past day   thus  hair look wierd    hat would look  
18,af3fed7fc3,is back home now      gonna miss every one,8,back home       go miss every one
19,40e7becabf,Hes just not that into you,6,
20,04d17ef61e," oh Marly, I`m so sorry!!  I hope you find her soon!! <3 <3",13,oh marly  sorry     hope find soon    
21,e48b0b8a23,Playing Ghost Online is really interesting. The new updates are Kirin pet and Metamorph for third job.  Can`t wait to have a dragon pet,24,play ghost online really interesting  new update kirin pet metamorph third job    wait dragon pet
22,7de057cf40,is cleaning the house for her family who is comming later today..,12,clean house family comme later today 
23,9ce5570064,gotta restart my computer .. I thought Win7 was supposed to put an end to the constant rebootiness,18,get restart computer  think win suppose put end constant rebootiness
24,0c8cc71c46,SEe waT I Mean bOuT FoLL0w fRiiDaYs... It`S cALLed LoSe f0LloWeRs FridAy... smH,13,see wat mean bout follw friidays  called lose fllowers friday  smh
25,e00c6ef376,"the free fillin` app on my ipod is fun, im addicted",11,free fillin  app ipod fun  addict
26,852edc3769,  I`m sorry.,2,sorry 
27,bdc32ea43c,On the way to Malaysia...no internet access to Twit,9,way malaysia  internet access twit
28,6ce4a4954b,juss came backk from Berkeleyy ; omg its madd fun out there  havent been out there in a minute . whassqoodd ?,22,juss come backk berkeleyy  omg madd fun   minute  whassqoodd 
29,d22e6d40a7,Went to sleep and there is a power cut in Noida  Power back up not working too,17,go sleep power cut noida   power back work
30,d33f811375,I`m going home now. Have you seen my new twitter design? Quite....heavenly isn`****?,13,go home  see new twitter design  quite  heavenly      
31,7d8c4c11e4,i hope unni will make the audition . fighting dahye unni !,12,hope unni make audition  fight dahye unni 
32,1c31703aef, If it is any consolation I got my BMI tested hahaha it says I am obesed  well so much for being unhappy for about 10 minutes.,26,consolation get bmi test hahaha say obese   well much unhappy  minute 
33,2dc51711bc, That`s very funny.  Cute kids.,5,funny    cute kid 
34,d21ab5855b," Ahhh, I slept through the game.  I`m gonna try my best to watch tomorrow though. I hope we play Army.",20,ahhh  sleep game    go try good watch tomorrow though  hope play army 
35,4f5267ad70,"Thats it, its the end. Tears for Fears vs Eric Prydz, DJ Hero   http://bit.ly/2Hpbg4",14, end  tear fears vs eric prydz  dj hero    
36,2724775d6b,Born and raised in NYC and living in Texas for the past 10 years!  I still miss NY,18,bear raise nyc live texas past  year    still miss ny
37,1cbc812ece,"just in case you wonder, we are really busy today and this coming with with adding tons of new blogs and updates stay tuned",24,case wonder  really busy today come add ton new blog update stay tune
